Surface ID,Project,Title,Category,Theme,Summary,Spatial_representation_type,File type,start_time,end_time,Time period,Temporal resolution,Frequency,Spatial resolution,Extent,Owner,Unit,CRS,No-data value,available,chooseable_in_map,Comments,Metadata last updated,Dataset last revised,MD_TopicCategoryCode,Lineage_statement,File identifier,catalogue_page,thumbnail,geoserver_layer,geoserver_style,default_basemap,Spatial resolution as integer,Spatial resolution unit,show_on_map,References,file_name,Local path to XML file,Hosted XML file
1,Europe,Annual NO2 25m,Physico-Chemical,Air pollution,No summary,grid,TIF,1-1-2000,31-12-2023,2000 - 2023,Annual,Every year,25x25m,Full EU,Kees de Hoogh,microgram per cubed meter,ETRS89-extended / LAEA Europe (EPSG: 3035),#NUM!,,"2000, 2013, 2023",,6-2-2026,8-1-2026,environment,No lineage information,expanse_project_exposome_maps_NO2B25_AAV_v2,Annual_NO2_25m,no2,NO2B25_AAV,NO2,,25,m,TRUE,"https://doi.org/10.1016/j.envint.2022.107485, https://doi.org/10.1016/j.scitotenv.2024.170550",NO2B25_AAV_XX_XX_%yr%_v2,C:/Users/5298954/Documents/Github_Repos/Exposome-Map-Documents/metadata_XMLs/metadata_Annual_NO2_25m.xml,https://utrechtuniversity.github.io/Exposome-Map-Documents/metadata_XMLs/metadata_Annual_NO2_25m.xml
2,Europe,Annual PM10 25m,Physico-Chemical,Air pollution,No summary,grid,TIF,1-1-2000,31-12-2023,2000 - 2023,Annual,Every year,25x25m,Full EU,Kees de Hoogh,microgram per cubed meter,ETRS89-extended / LAEA Europe (EPSG: 3035),#NUM!,,"2000, 2013, 2023",,6-2-2026,8-1-2026,environment,No lineage information,expanse_project_exposome_maps_P10B25_AAV_v2,Annual_PM10_25m,pm10,P10B25_AAV,P10,,25,m,TRUE,"https://doi.org/10.1016/j.envint.2022.107485, https://doi.org/10.1016/j.scitotenv.2024.170550",P10B25_AAV_XX_XX_%yr%_v2,C:/Users/5298954/Documents/Github_Repos/Exposome-Map-Documents/metadata_XMLs/metadata_Annual_PM10_25m.xml,https://utrechtuniversity.github.io/Exposome-Map-Documents/metadata_XMLs/metadata_Annual_PM10_25m.xml
3,Europe,Annual PM2.5 25m,Physico-Chemical,Air pollution,No summary,grid,TIF,1-1-2000,31-12-2023,2000 - 2023,Annual,Every year,25x25m,Full EU,Kees de Hoogh,microgram per cubed meter,ETRS89-extended / LAEA Europe (EPSG: 3035),#NUM!,,"2000, 2013, 2023",,6-2-2026,8-1-2026,environment,No lineage information,expanse_project_exposome_maps_P25B25_AAV_v2,Annual_PM2.5_25m,pm25,P25B25_AAV,P25,,25,m,TRUE,"https://doi.org/10.1016/j.envint.2022.107485, https://doi.org/10.1016/j.scitotenv.2024.170550",P25B25_AAV_XX_XX_%yr%_v2,C:/Users/5298954/Documents/Github_Repos/Exposome-Map-Documents/metadata_XMLs/metadata_Annual_PM25_25m.xml,https://utrechtuniversity.github.io/Exposome-Map-Documents/metadata_XMLs/metadata_Annual_PM25_25m.xml
4,Europe,Annual O3 25m,Physico-Chemical,Air pollution,No summary,grid,TIF,1-1-2000,31-12-2023,2000 - 2023,Annual,Every year,25x25m,Full EU,Kees de Hoogh,microgram per cubed meter,ETRS89-extended / LAEA Europe (EPSG: 3035),#NUM!,,"2000, 2013, 2023",,6-2-2026,8-1-2026,environment,No lineage information,expanse_project_exposome_maps_OZOB25_AAV_v2,Annual_O3_25m,o3,OZOB25_AAV,OZO,,25,m,TRUE,"https://doi.org/10.1016/j.envint.2022.107485, https://doi.org/10.1016/j.scitotenv.2024.170550",OZOB25_AAV_XX_XX_%yr%_v2,C:/Users/5298954/Documents/Github_Repos/Exposome-Map-Documents/metadata_XMLs/metadata_Annual_O3_25m.xml,https://utrechtuniversity.github.io/Exposome-Map-Documents/metadata_XMLs/metadata_Annual_O3_25m.xml
46,Europe,Monthly NO2 100m,Physico-Chemical,Air pollution,No summary,grid,TIF,1-1-2000,31-12-2019,2000 - 2019,Monthly,Every month,100x100m,"Austria, Belgium, Czechia, Denmark, Estonia, France, Germany, Greece, Italy, Liechtenstein, Netherlands, Norway, Poland, Spain, Sweden, Switzerland, United Kingdom",Kees de Hoogh,microgram per cubed meter,ETRS89-extended / LAEA Europe (EPSG: 3035),#NUM!,,"01-01-2019, 01-06-2019, 01-12-2019",,4-3-2026,8-1-2026,environment,No lineage information,expanse_project_exposome_maps_NO2B100_MAV_v2,Monthly_NO2_100m,no2_monthly,NO2B100_MAV,NO2,,100,m,TRUE,"https://doi.org/10.1016/j.envint.2022.107485, https://doi.org/10.1016/j.scitotenv.2024.170550",NO2B100_MAV_XX_%month%_%yr%_v2,C:/Users/5298954/Documents/Github_Repos/Exposome-Map-Documents/metadata_XMLs/metadata_Monthly_NO2_100m.xml,https://utrechtuniversity.github.io/Exposome-Map-Documents/metadata_XMLs/metadata_Monthly_NO2_100m.xml
47,Europe,Monthly PM10 100m,Physico-Chemical,Air pollution,No summary,grid,TIF,1-1-2000,31-12-2019,2000 - 2019,Monthly,Every month,100x100m,"Austria, Belgium, Czechia, Denmark, Estonia, France, Germany, Greece, Italy, Liechtenstein, Netherlands, Norway, Poland, Spain, Sweden, Switzerland, United Kingdom",Kees de Hoogh,microgram per cubed meter,ETRS89-extended / LAEA Europe (EPSG: 3035),#NUM!,,"01-01-2019, 01-06-2019, 01-12-2019",,4-3-2026,8-1-2026,environment,No lineage information,expanse_project_exposome_maps_P10B100_MAV_v2,Monthly_PM10_100m,pm10_monthly,P10B100_MAV,P10,,100,m,TRUE,"https://doi.org/10.1016/j.envint.2022.107485, https://doi.org/10.1016/j.scitotenv.2024.170550",P10B100_MAV_XX_%month%_%yr%_v2,C:/Users/5298954/Documents/Github_Repos/Exposome-Map-Documents/metadata_XMLs/metadata_Monthly_PM10_100m.xml,https://utrechtuniversity.github.io/Exposome-Map-Documents/metadata_XMLs/metadata_Monthly_PM10_100m.xml
48,Europe,Monthly PM2.5 100m,Physico-Chemical,Air pollution,No summary,grid,TIF,1-1-2000,31-12-2019,2000 - 2019,Monthly,Every month,100x100m,"Austria, Belgium, Czechia, Denmark, Estonia, France, Germany, Greece, Italy, Liechtenstein, Netherlands, Norway, Poland, Spain, Sweden, Switzerland, United Kingdom",Kees de Hoogh,microgram per cubed meter,ETRS89-extended / LAEA Europe (EPSG: 3035),#NUM!,,"01-01-2019, 01-06-2019, 01-12-2019",,4-3-2026,8-1-2026,environment,No lineage information,expanse_project_exposome_maps_P25B100_MAV_v2,Monthly_PM2.5_100m,pm25_monthly,P25B100_MAV,P25,,100,m,TRUE,"https://doi.org/10.1016/j.envint.2022.107485, https://doi.org/10.1016/j.scitotenv.2024.170550",P25B100_MAV_XX_%month%_%yr%_v2,C:/Users/5298954/Documents/Github_Repos/Exposome-Map-Documents/metadata_XMLs/metadata_Monthly_PM25_100m.xml,https://utrechtuniversity.github.io/Exposome-Map-Documents/metadata_XMLs/metadata_Monthly_PM25_100m.xml
49,Europe,Monthly O3 100m,Physico-Chemical,Air pollution,No summary,grid,TIF,1-1-2000,31-12-2019,2000 - 2019,Monthly,Every month,100x100m,"Austria, Belgium, Czechia, Denmark, Estonia, France, Germany, Greece, Italy, Liechtenstein, Netherlands, Norway, Poland, Spain, Sweden, Switzerland, United Kingdom",Kees de Hoogh,microgram per cubed meter,ETRS89-extended / LAEA Europe (EPSG: 3035),#NUM!,,"01-01-2019, 01-06-2019, 01-12-2019",,4-3-2026,8-1-2026,environment,No lineage information,expanse_project_exposome_maps_OZOB100_MAV_v2,Monthly_O3_100m,o3_monthly,OZOB100_MAV,OZO,,100,m,TRUE,"https://doi.org/10.1016/j.envint.2022.107485, https://doi.org/10.1016/j.scitotenv.2024.170550",OZOB100_MAV_XX_%month%_%yr%_v2,C:/Users/5298954/Documents/Github_Repos/Exposome-Map-Documents/metadata_XMLs/metadata_Monthly_O3_100m.xml,https://utrechtuniversity.github.io/Exposome-Map-Documents/metadata_XMLs/metadata_Monthly_O3_100m.xml
5,Europe,Yearly average temperature,Physico-Chemical,Temperature,No summary,grid,TIF,1-1-2003,31-12-2024,2003 - 2024,Annual,Every year,1x1km,Full EU,Kees de Hoogh,degrees C,ETRS89-extended / LAEA Europe (EPSG: 3035),-3.40E+38,,,,1-6-2026,1-6-2026,climatologyMeteorologyAtmosphere,No lineage information,expanse_project_exposome_maps_TMP_AVG_YEARLY_v3,Annual_average_temperature,yearly_avg_temp,TMP_AVG_YEARLY,TEMP,,1,km,TRUE,https://doi.org/10.1016/j.scitotenv.2024.172454,TMP_AVG_XX_XX_%yr%_v3.tif,C:/Users/5298954/Documents/Github_Repos/Exposome-Map-Documents/metadata_XMLs/metadata_Yearly_average_temperature.xml,https://utrechtuniversity.github.io/Exposome-Map-Documents/metadata_XMLs/metadata_Yearly_average_temperature.xml
9,Europe,Monthly average temperature,Physico-Chemical,Temperature,No summary,grid,TIF,1-1-2003,31-12-2024,2003 - 2024,Monthly,Every month,1x1km,Full EU,Kees de Hoogh,degrees C,ETRS89-extended / LAEA Europe (EPSG: 3035),-3.40E+38,,"01-01-2020, 01-06-2020, 01-12-2020,01-12-2020, 01-01-2020, 01-06-2020, 01-12-2020, 01-12-2020, 01-01-2021, 01-06-2021, 01-10-2021, 01-01-2022, 01-06-2022, 01-10-2022, 01-01-2023, 01-06-2023, 01-10-2023, 01-01-2024, 01-06-2024, 01-10-2024",,1-6-2026,1-6-2026,climatologyMeteorologyAtmosphere,No lineage information,expanse_project_exposome_maps_TEMP_AVG_MONTHLY_v3,Monthly_average_temperature,monthly_avg_temp,TEMP_AVG_MONTHLY,TEMP,,1,km,TRUE,https://doi.org/10.1016/j.scitotenv.2024.172454,TEMP_AVG_XX_%mo%_%yr%_v3.tif,C:/Users/5298954/Documents/Github_Repos/Exposome-Map-Documents/metadata_XMLs/metadata_Monthly_average_temperature.xml,https://utrechtuniversity.github.io/Exposome-Map-Documents/metadata_XMLs/metadata_Monthly_average_temperature.xml
